h1_ak74u_mp,base,1,wpn_h1_smg_ak74u_clh_vm_camo,wpn_h1_smg_ak74u_clh_npc_camo,,wpn_h1_smg_ak74u_clh_vm_wet_camo,wpn_h1_smg_ak74u_clh_npc_wet_camo,,wpn_h1_smg_ak74u_clh_lobby,LootDrop1,
h1_ak74u_mp,muzzle,1,attach_h1_flashhider_ak74u_patch_vm,attach_h1_flashhider_ak74u_patch_npc,,,,,,LootDrop1,
h1_ak74u_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_ak74u_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop1,
h1_ak74u_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop1,
h1_ak74u_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop1,
h1_ak74u_mp,silencer,0,attach_h1_silencer_russian_vm,attach_h1_silencer_russian_npc,,attach_h1_silencer_russian_vm_wet,attach_h1_silencer_russian_npc_wet,,,LootDrop1,
h1_ak74u_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
h1_mp5_mp,base,1,wpn_h1_smg_mp5_clh_vm_camo,wpn_h1_smg_mp5_clh_npc_camo,,wpn_h1_smg_mp5_clh_vm_wet_camo,wpn_h1_smg_mp5_clh_npc_wet_camo,,wpn_h1_smg_mp5_clh_lobby,LootDrop1,
h1_mp5_mp,defaultsight,1,attach_h1_sight_default_mp5_clh_vm_camo,attach_h1_sight_default_mp5_clh_npc_camo,,,,,,LootDrop1,
h1_mp5_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_mp5_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop1,
h1_mp5_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop1,
h1_mp5_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop1,
h1_mp5_mp,silencer,0,attach_h1_silencer_mp5_clh_vm_camo,attach_h1_silencer_mp5_clh_npc_camo,,attach_h1_silencer_mp5_clh_vm_wet_camo,attach_h1_silencer_mp5_clh_npc_wet_camo,,,LootDrop1,
h1_mp5_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
h1_p90_mp,base,1,wpn_h1_smg_p90_clh_vm_camo,wpn_h1_smg_p90_clh_npc_camo,,wpn_h1_smg_p90_clh_vm_wet_camo,wpn_h1_smg_p90_clh_npc_wet_camo,,wpn_h1_smg_p90_clh_lobby,LootDrop1,
